"","Sector","Type","Year","CO2_Emission"
"1","Residential Sector","Coal",2009,0
"2","Residential Sector","Coal",2010,0
"3","Residential Sector","Coal",2011,0
"4","Residential Sector","Coal",2012,0
"5","Residential Sector","Coal",2013,0
"6","Residential Sector","Coal",2014,0
"7","Residential Sector","Coal",2015,0
"8","Residential Sector","Coal",2016,0
"9","Residential Sector","Coal",2017,0
"10","Residential Sector","Coal",2018,0
"11","Residential Sector","Coal",2019,0
"12","Residential Sector","Petroleum Products",2009,0.70565704
"13","Residential Sector","Petroleum Products",2010,0.820339703333333
"14","Residential Sector","Petroleum Products",2011,0.618916466666667
"15","Residential Sector","Petroleum Products",2012,0.72768311
"16","Residential Sector","Petroleum Products",2013,0.510443486666667
"17","Residential Sector","Petroleum Products",2014,0.613455186666667
"18","Residential Sector","Petroleum Products",2015,0.545182366666667
"19","Residential Sector","Petroleum Products",2016,0.531541083333333
"20","Residential Sector","Petroleum Products",2017,0.446366323333333
"21","Residential Sector","Petroleum Products",2018,0.56367707
"22","Residential Sector","Petroleum Products",2019,0.5577352
"23","Residential Sector","Natural Gas",2009,6.43938152
"24","Residential Sector","Natural Gas",2010,7.52125469333333
"25","Residential Sector","Natural Gas",2011,6.12819181333333
"26","Residential Sector","Natural Gas",2012,5.26046238666667
"27","Residential Sector","Natural Gas",2013,6.5469096
"28","Residential Sector","Natural Gas",2014,7.24313956666667
"29","Residential Sector","Natural Gas",2015,6.39126345
"30","Residential Sector","Natural Gas",2016,6.30623708
"31","Residential Sector","Natural Gas",2017,6.05105215
"32","Residential Sector","Natural Gas",2018,7.23348483
"33","Residential Sector","Natural Gas",2019,6.68978167
"34","Commercial Sector","Coal",2009,0.0171704866666667
"35","Commercial Sector","Coal",2010,0.01784475
"36","Commercial Sector","Coal",2011,0.0211039766666667
"37","Commercial Sector","Coal",2012,0.01793484
"38","Commercial Sector","Coal",2013,0.0144349333333333
"39","Commercial Sector","Coal",2014,0.00939444
"40","Commercial Sector","Coal",2015,0.0057156
"41","Commercial Sector","Coal",2016,0
"42","Commercial Sector","Coal",2017,0
"43","Commercial Sector","Coal",2018,0
"44","Commercial Sector","Coal",2019,0
"45","Commercial Sector","Petroleum Products",2009,0.61633605
