"","Sector","Type","Year","CO2_Emission"
"1","Residential Sector","Coal",2009,0
"2","Residential Sector","Coal",2010,0
"3","Residential Sector","Coal",2011,0
"4","Residential Sector","Coal",2012,0
"5","Residential Sector","Coal",2013,0
"6","Residential Sector","Coal",2014,0
"7","Residential Sector","Coal",2015,0
"8","Residential Sector","Coal",2016,0
"9","Residential Sector","Coal",2017,0
"10","Residential Sector","Coal",2018,0
"11","Residential Sector","Coal",2019,0
"12","Residential Sector","Petroleum Products",2009,2.26501403333333
"13","Residential Sector","Petroleum Products",2010,2.34989751333333
"14","Residential Sector","Petroleum Products",2011,2.06604134
"15","Residential Sector","Petroleum Products",2012,1.56301467666667
"16","Residential Sector","Petroleum Products",2013,1.80255841333333
"17","Residential Sector","Petroleum Products",2014,1.83034712666667
"18","Residential Sector","Petroleum Products",2015,1.76898630333333
"19","Residential Sector","Petroleum Products",2016,1.43786269
"20","Residential Sector","Petroleum Products",2017,1.30664864
"21","Residential Sector","Petroleum Products",2018,1.63059090333333
"22","Residential Sector","Petroleum Products",2019,1.53005966666667
"23","Residential Sector","Natural Gas",2009,4.63853214
"24","Residential Sector","Natural Gas",2010,4.79995589333333
"25","Residential Sector","Natural Gas",2011,4.32068237333333
"26","Residential Sector","Natural Gas",2012,3.86814934
"27","Residential Sector","Natural Gas",2013,4.71146324
"28","Residential Sector","Natural Gas",2014,5.16195423333333
"29","Residential Sector","Natural Gas",2015,4.73851378
"30","Residential Sector","Natural Gas",2016,4.28856714
"31","Residential Sector","Natural Gas",2017,4.29354068
"32","Residential Sector","Natural Gas",2018,4.98258761
"33","Residential Sector","Natural Gas",2019,4.57756156
"34","Commercial Sector","Coal",2009,0.21963128
"35","Commercial Sector","Coal",2010,0.2113045
"36","Commercial Sector","Coal",2011,0.225613813333333
"37","Commercial Sector","Coal",2012,0.12212772
"38","Commercial Sector","Coal",2013,0.126970433333333
"39","Commercial Sector","Coal",2014,0.1665378
"40","Commercial Sector","Coal",2015,0.12679106
"41","Commercial Sector","Coal",2016,0.0839256
"42","Commercial Sector","Coal",2017,0.09011486
"43","Commercial Sector","Coal",2018,0.06916459
"44","Commercial Sector","Coal",2019,0.0566761066666667
"45","Commercial Sector","Petroleum Products",2009,0.956631463333333
