Years,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Alabama,2.778175E11,2.541097E11,2.308921E11,2.315619E11,2.238593E11,2.146063E11,2.073684E11,2.023724E11,1.974069E11,1.947869E11,1.892455E11,1.839166E11,1.772492E11,1.709309E11,1.745263E11,1.729752E11,1.66469E11,1.588468E11,1.477152E11,1.341526E11,1.27505E11,1.229155E11,1.198517E11,1.156801E11,1.10212E11,1.048119E11
Alaska,6.3618E10,5.73494E10,5.04752E10,5.47282E10,5.48996E10,5.33015E10,5.07277E10,5.14909E10,5.64849E10,5.72477E10,5.82836E10,5.68963E10,5.33316E10,4.99578E10,5.51225E10,4.95837E10,4.50941E10,4.03566E10,3.53024E10,3.20379E10,2.97568E10,2.84941E10,2.68066E10,2.47443E10,2.42275E10,2.58108E10
Arizona,4.589498E11,4.200267E11,3.820723E11,3.723935E11,3.518795E11,3.320018E11,3.130814E11,2.993933E11,2.876666E11,2.785916E11,2.7144E11,2.609157E11,2.51153E11,2.464243E11,2.62926E11,2.61392E11,2.45957E11,2.279159E11,2.065411E11,1.936349E11,1.805223E11,1.719096E11,1.651107E11,1.557558E11,1.433026E11,1.32281E11
Arkansas,1.652206E11,1.486761E11,1.339691E11,1.315783E11,1.275357E11,1.224667E11,1.191524E11,1.177868E11,1.161394E11,1.132273E11,1.084921E11,1.057681E11,1.014865E11,9.75081E10,9.97068E10,9.83816E10,9.58751E10,9.08877E10,8.51996E10,7.86951E10,7.41139E10,7.06167E10,6.86785E10,6.68113E10,6.23967E10,5.98463E10
California,3.5981027E12,3.3732407E12,3.0201734E12,3.0426941E12,2.8972007E12,2.7287431E12,2.569634E12,2.4735559E12,2.3352865E12,2.2203899E12,2.1130964E12,2.0235E12,1.9540927E12,1.8901659E12,1.9446953E12,1.898902E12,1.81221E12,1.6985604E12,1.5881774E12,1.4979187E12,1.4184296E12,1.3757613E12,1.3569754E12,1.2418997E12,1.1475204E12,1.071117E12
Colorado,4.843715E11,4.363595E11,3.912633E11,3.945347E11,3.722121E11,3.491565E11,3.299117E11,3.207211E11,3.095426E11,2.921405E11,2.768231E11,2.675161E11,2.583002E11,2.512277E11,2.588717E11,2.484465E11,2.326467E11,2.207837E11,2.041672E11,1.961265E11,1.90019E11,1.866958E11,1.800632E11,1.637633E11,1.5033E11,1.368987E11
Connecticut,3.218446E11,2.983952E11,2.762233E11,2.885363E11,2.79923E11,2.714432E11,2.636703E11,2.594878E11,2.46597E11,2.415174E11,2.409119E11,2.331587E11,2.347E11,2.332907E11,2.389368E11,2.345407E11,2.197684E11,2.052146E11,1.953549E11,1.787022E11,1.732483E11,1.712166E11,1.656143E11,1.522875E11,1.454755E11,1.383318E11
Delaware,8.75248E10,8.116E10,7.58186E10,7.69237E10,7.21683E10,6.83025E10,6.9355E10,7.19139E10,6.83547E10,6.17162E10,6.23546E10,6.13722E10,5.81635E10,5.78497E10,5.54598E10,5.66128E10,5.51744E10,5.21535E10,5.13537E10,4.76861E10,4.55083E10,4.60961E10,4.34513E10,4.03451E10,3.7106E10,3.33534E10
District of Columbia,1.623144E11,1.536705E11,1.4472E11,1.439908E11,1.397225E11,1.332435E11,1.296486E11,1.246047E11,1.194146E11,1.145401E11,1.12157E11,1.097304E11,1.061469E11,1.00446E11,9.94965E10,9.37854E10,8.8125E10,8.48676E10,8.01401E10,7.39571E10,6.99195E10,6.54429E10,6.10929E10,5.88192E10,5.48153E10,5.25036E10
Florida,1.3890697E12,1.2555583E12,1.1167268E12,1.1113922E12,1.0572553999999999E12,1.003144E12,9.533525E11,9.085199E11,8.516924E11,8.117517E11,7.78545E11,7.5524E11,7.469289E11,7.35421E11,7.633415E11,7.827125E11,7.505238E11,7.058519E11,6.466306E11,5.904831E11,5.530103E11,5.190586E11,4.904298E11,4.580589E11,4.291384E11,4.015353E11
