"","Sector","Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Residential Sector","Coal",0.16142643,0.08998011,0.05752197,0.06405201,0.0412929,0.03466683,0.01709334,0.0249678,0.01027521,0.01209978,0.01075536,0.0134442,0.00537768,0.00134442,0.03284226,0.01997424,0.00412929,0.02055042,0.0144045,0.00633798,0.01075536,0.00346764,0.01683044,0.00949608,0.01033164,0.01849133,0.00085899,0.00446171,0.00296215333333333,0.00485639,0.002288,0.00304949333333333,0.00152298666666667,0,0.00161381,0.00926156,0,0.000475016666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Residential Sector","Petroleum Products",1.05491694,1.10487714333333,1.12360255333333,1.08085017333333,0.945081463333333,0.98198694,1.161996,1.16085167,1.02326242333333,0.65444489,1.05191867,0.806847653333333,0.694322236666667,0.85113886,0.972135413333333,1.12799452333333,1.02347168,1.01965860333333,1.01454408,1.08296375,0.906255093333333,0.922311793333333,0.999903776666667,1.06859404666667,0.995250446666667,0.98456391,1.00175100666667,1.03510209,0.92338235,1.00774633666667,1.11942508333333,0.80909037,0.765852193333333,0.82138309,0.874050393333333,0.731858526666667,0.65778075,0.654239373333333,0.720917633333333,0.70565704,0.820339703333333,0.618916466666667,0.72768311,0.510443486666667,0.613455186666667,0.545182366666667,0.531541083333333,0.446366323333333,0.56367707,0.5577352,0.540732023333333,0.498017593333333
"3","Residential Sector","Natural Gas",4.77535234,4.82784214,4.65982176,4.70695654,4.15300358,4.74603228,4.70202568,5.35454282,5.25221422,5.0122457,4.93743448,5.00593632,4.74147256,4.97078406,5.18418956,4.58023874,4.85578368,5.47415594,5.87615358,5.64010854,4.91506004,5.25976146666667,5.87691133333333,6.29776862,5.75802502,6.24201072,6.89641164666667,6.23776618666667,5.84448553333333,5.37871994,7.60864434,6.58036522,6.89216711333333,7.0903646,6.90490071333333,6.83634578,6.0183002,6.10413958,6.47687018,6.43938152,7.52125469333333,6.12819181333333,5.26046238666667,6.5469096,7.24313956666667,6.39126345,6.30623708,6.05105215,7.23348483,6.68978167,6.51084005,6.88263862
"4","Residential Sector","Total",5.99169571,6.02269939333333,5.84094628333333,5.85185872333333,5.13937794333333,5.76268605,5.88111502,6.54036229,6.28575185333333,5.67879037,6.00010851,5.82622817333333,5.44117247666667,5.82326734,6.18916723333333,5.72820750333333,5.88338465,6.51436496333333,6.90510216,6.72941027,5.83207049333333,6.1855409,6.89364555,7.37585874666667,6.76360710666667,7.24506596,7.89902164333333,7.27732998666667,6.77083003666667,6.39132266666667,8.73035742333333,7.39250508333333,7.65954229333333,7.91174769,7.78056491666667,7.57746586666667,6.67608095,6.75885397,7.19778781333333,7.14503856,8.34159439666667,6.74710828,5.98814549666667,7.05735308666667,7.85659475333333,6.93644581666667,6.83777816333333,6.49741847333333,7.7971619,7.24751687,7.05157207333333,7.38065621333333
"5","Commercial Sector","Coal",0.12685563,0.09372528,0.07634385,0.10909008,0.08767539,0.08095329,0.04186908,0.06414804,0.0345708,0.04839912,0.04062069,0.06126714,0.02650428,0.00729828,0.13991571,0.07087014,0.01382832,0.06875748,0.05108796,0.02391147,0.04302144,0.0157007033333333,0.0767042466666667,0.04335584,0.05854596,0.1235949,0.00639470333333333,0.03588354,0.02379278,0.0358039733333333,0.0186853333333333,0.0243959466666667,0.01113684,0,0.01490401,0.1069376,0,0.00437015333333333,0.03120337,0.0171704866666667,0.01784475,0.0211039766666667,0.01793484,0.0144349333333333,0.00939444,0.0057156,0,0,0,0,0,0
"6","Commercial Sector","Petroleum Products",0.7917085,0.874515546666667,0.94432096,0.95424879,0.854110326666667,0.816220276666667,1.10292002333333,1.02553484,0.858604303333333,0.737995573333333,0.52573279,0.92144679,0.85890288,1.56521849,1.83526137666667,1.37101627666667,1.37601643666667,1.38486538666667,1.38982363666667,1.05066126,1.13691141666667,0.83666935,0.969348416666667,0.863173593333333,0.913902513333333,0.943246773333333,0.81849493,0.923456233333333,0.63669892,0.87145553,0.96162671,0.980017353333333,0.71676583,0.684816366666667,0.778247066666667,0.60699639,0.584972813333333,0.594770476666667,0.59041455,0.61633605,0.740984676666667,0.69978139,0.836717236666667,0.885557236666667,0.92486878,1.73308457666667,1.79972503333333,1.74480735,1.73911125666667,1.58681739333333,1.62147953,1.73529609
"7","Commercial Sector","Natural Gas",2.11692954,2.28935058,2.45912062,2.58053642,2.41511402,2.69124218,2.52380502,3.00946822,3.284589,3.43760472,3.21518582,3.11131964,2.9882072,3.06158688,3.04138626,2.80804524,2.74479238,2.96975624,3.04138626,2.8879994,2.69463546,2.77706843333333,2.92505088333333,3.1324216,2.95178246,3.07749889333333,3.33126893,3.12042173666667,3.01586431666667,2.37312218,3.17623735,2.77787686,2.64609513666667,2.74394406,3.00491737333333,2.90348124,2.62777724,2.6507349,2.79516138,2.91190903666667,3.26258533333333,3.0605652,2.79645773,3.07865932,3.18053651666667,2.91031455,2.79221943,2.67571161,3.0730128,2.91179603,2.74317186,2.88422992
"8","Commercial Sector","Total",3.03549367,3.25759140666667,3.47978543,3.64387529,3.35689973666667,3.58841574666667,3.66859412333333,4.0991511,4.17776410333333,4.22399941333333,3.7815393,4.09403357,3.87361436,4.63410365,5.01656334666667,4.24993165666667,4.13463713666667,4.42337910666667,4.48229785666667,3.96257213,3.87456831666667,3.62943848666667,3.97110354666667,4.03895103333333,3.92423093333333,4.14434056666667,4.15615856333333,4.07976151,3.67635601666667,3.28038168333333,4.15654939333333,3.78229016,3.37399780666667,3.42876042666667,3.79806845,3.61741523,3.21275005333333,3.24987553,3.4167793,3.54541557333333,4.02141476,3.78145056666667,3.65110980666667,3.97865149,4.11479973666667,4.64911472666667,4.59194446333333,4.42051896,4.81212405666667,4.49861342333333,4.36465139,4.61952601
"9","Industrial Sector","Coal",1.13668100333333,1.08614502333333,0.94598812,0.922045043333333,0.670690056666667,0.964631543333333,1.24683808333333,1.43014930666667,1.44188425333333,1.26368341,1.56349237,2.52414513890983,2.51567979890641,3.32060719012305,3.61095422062112,3.69611848125417,4.24768081742359,4.63970611908855,5.00119284673241,4.84771834948413,5.31211535657793,5.00888183935734,4.25838874377559,4.07635174961111,4.57593180882678,4.64212404088156,4.70674959686137,4.844446508364,4.68884146226016,4.66963832344201,4.81616752045404,4.82226250331187,4.43472457552426,4.26406078667035,4.25800118333333,4.11274849333333,3.85839069,3.68023069333333,3.44543712333333,2.5203156,3.01106588614011,2.77458617333333,2.06424467333333,1.77289460333333,2.0126128,1.154868,1.06027999,0.799399186666667,0.806228426666666,0.74885206,0.661089,0.6945906
"10","Industrial Sector","Petroleum Products",6.69868807598219,6.94197598418792,7.50906363996286,7.91335658508599,7.23664193886935,5.71296676788838,6.87797384641094,7.32991740107853,6.38668848237524,6.95217074327341,5.76949726348265,3.89486619774519,3.53363449961836,3.7373658148841,4.71049585831321,8.15732382276601,3.95083224453895,3.66454631401417,3.72892101094712,3.94413186408942,4.26797293771739,3.83598869780395,4.66253095543009,4.70511301597008,4.50050699494194,4.94160626882884,5.73094117047211,5.35646438189088,4.65529223721059,5.21039228852358,5.45762545797444,6.21588732197329,6.38105532011783,6.42280635185024,6.484154921613,6.92703547132653,5.99999248734949,5.23120616343266,4.29401645118267,3.93153267726289,4.03460883282881,3.78526778008873,3.63817131892495,3.83797188490459,3.94987276740116,3.59748135266332,3.86038040254595,3.8155943076052,3.85149156032504,3.44574079052177,3.10880773672961,3.56161019362975
