"","Sector","Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Residential Sector","Coal",0.55831842,0.41532975,0.3437874,0.33927399,0.2842488,0.25006212,0.19177191,0.15105519,0.1229184,0.06923763,0.08421831,0.05800212,0.06184332,0.04887927,0.05387283,0.10236798,0.0854667,0.08959599,0.10784169,0.076824,0.07567164,0.0426712366666667,0.0886983533333333,0.09889352,0.0942283833333333,0.07013292,0.0585067633333333,0.05012304,0.05618536,0.04627854,0.032032,0.0335444266666667,0.03740836,0.0408497466666667,0.08287389,0.02893044,0.0253233933333333,0.01083038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Residential Sector","Petroleum Products",8.51899414666667,8.11242413666667,7.86875287,7.23396267,5.96152626666667,5.62471954,6.19217947333333,6.2131366,5.60541098333333,5.90196185333333,4.76094439333333,3.75440079666667,3.47476869666667,3.52588599,5.22798466666667,4.66249861,4.42585803,4.92741432333333,5.26111611666667,4.48298249666667,3.28565479,3.27758819666667,3.62271283,3.62737591333333,3.24962726,3.80718873333333,4.26840766,3.92800932333333,3.83803797666667,3.42564786666667,3.66269288,3.66800159,3.10114273333333,3.60181796333333,3.64865541333333,3.08215900666667,2.56615630333333,2.35761166666667,2.48557972666667,2.16326696666667,2.37853513333333,1.8382947,1.31272174,1.42725179666667,1.61399898,1.82177156333333,1.57953862,1.24327144333333,1.55295950333333,1.47191887333333,1.31310894,1.44549023666667
"3","Residential Sector","Natural Gas",1.48503718,1.65231528,1.7910156,1.54786588,1.45799698,1.4824392,1.82038868,1.7438278,1.89816902,1.74695598,1.82187324,1.7732539,1.7300426,1.71037218,1.77654114,1.57061146,1.73624594,1.9625353,2.0961457,2.11327116,1.91540052,2.0765228,2.33322705,2.58509614,2.60651622,2.70679196333333,3.23316715333333,2.90819507,2.8010169,2.90247386,3.49452429333333,3.14021554,3.23979923666667,3.6149036,3.45027503333333,3.51040118,3.10013242,3.19795432,3.4892462,3.57331344333333,4.02601437333333,3.31721837333333,3.04115507666667,3.7453328,4.08225986666667,3.53396472,3.53306525,3.2846528,3.99015474,3.70809153,3.50015523,3.9423241
"4","Residential Sector","Total",10.5623497466667,10.1800691666667,10.00355587,9.12110254,7.70377204666667,7.35722086,8.20434006333333,8.10801959,7.62649840333333,7.71815546333333,6.66703594333333,5.58565681666667,5.26665461666667,5.28513744,7.05839863666667,6.33547805,6.24757067,6.97954561333333,7.46510350666667,6.67307765666667,5.27672695,5.39678223333333,6.04463823333333,6.31136557333333,5.95037186333333,6.58411361666667,7.56008157666667,6.88632743333333,6.69524023666667,6.37440026666667,7.18924917333333,6.84176155666667,6.37835033,7.25757131,7.18180433666667,6.62149062666667,5.69161211666667,5.56639636666667,5.97482592666667,5.73658041,6.40454950666667,5.15551307333333,4.35387681666667,5.17258459666667,5.69625884666667,5.35573628333333,5.11260387,4.52792424333333,5.54311424333333,5.18001040333333,4.81326417,5.38781433666667
"5","Commercial Sector","Coal",0.43866504,0.43223103,0.45566235,0.57771648,0.60412473,0.58357431,0.46939464,0.38853738,0.41158458,0.27675846,0.31680297,0.26427456,0.30201435,0.25668819,0.22979979,0.36289737,0.28607337,0.29990169,0.38248749,0.28895427,0.3024945,0.194284163333333,0.40422074,0.45053624,0.533705736666667,0.46927738,0.42892234,0.40563589,0.45492942,0.339471183333333,0.259497333333333,0.2715955,0.274232786666667,0.273636036666667,0.74548529,0.33246136,0.256411393333333,0.0972834133333333,0.63085484,0.521435603333333,0.4786925,0.411574863333333,0.317228413333333,0.338936033333333,0.37520824,0.3691325,0.29888958,0.26345682,0.192187636666667,0.142839106666667,0.120994096666667,0.11251416
"6","Commercial Sector","Petroleum Products",1.28404235666667,1.29039636,1.39340736333333,1.31719008666667,1.14874433666667,1.10321731666667,1.26982661666667,1.33134030333333,1.21986300333333,1.38325260333333,1.51933477666667,1.16235804666667,0.937124393333333,1.86461605,2.46779877666667,2.01412302666667,1.83708217,2.10408751666667,2.29818182,1.91598242,1.75606255,1.51644430666667,1.43364026666667,1.4776707,1.66748860666667,1.63740863,2.03186353333333,1.98207320666667,1.89899233333333,1.67107746666667,1.98177111,2.14116243,1.56235328333333,2.17174928666667,2.06647378666667,2.08299399,1.80667230333333,1.58262918,1.71143155333333,1.96874546,1.58793275666667,1.24262354333333,1.20399697,0.958431356666666,1.20038046333333,1.94453325,1.89861569333333,1.87222361333333,1.89601415666667,1.85788093333333,1.93292700333333,1.98170016
"7","Commercial Sector","Natural Gas",1.16903798,1.42957826,1.31166178,1.25440018,1.14130852,1.16665208,1.08176706,0.98887602,1.1022858,1.29575578,1.4039696,1.4145736,1.36325024,1.3530704,1.43493328,1.3721576,1.3952213,1.6404388,1.77282974,1.81190548,1.7114856,1.87619281666667,1.99519338333333,2.05086662,2.13903888,2.04809344666667,2.22461297666667,2.09043266666667,2.00907501666667,2.08787458,2.35773215333333,2.1324644,2.21092435666667,2.44618374,2.49334499333333,2.62167994,2.54130162,2.48939504,2.65147718,2.79274376333333,3.03762888,2.68514224,2.63431655666667,2.97193006,3.25508406666667,3.01862132,3.05840964,2.94449441,3.15835663,3.12756301,2.851849,3.10269531
"8","Commercial Sector","Total",2.89174537666667,3.15220565,3.16073149333333,3.14930674666667,2.89417758666667,2.85344370666667,2.82098831666667,2.70875370333333,2.73373338333333,2.95576684333333,3.24010734666667,2.84120620666667,2.60238898333333,3.47437464,4.13253184666667,3.74917799666667,3.51837684,4.04442800666667,4.45349905,4.01684217,3.77004265,3.58692128666667,3.83305439,3.97907356,4.34023322333333,4.15477945666667,4.68539885,4.47814176333333,4.36299677,4.09842323,4.59900059666667,4.54522233,4.04751042666666,4.89156906333333,5.30530407,5.03713529,4.60438531666667,4.16930763333333,4.99376357333333,5.28292482666667,5.10425413666667,4.33934064666667,4.15554194,4.26929745,4.83067277,5.33228707,5.25591491333333,5.08017484333333,5.24655842333333,5.12828305,4.9057701,5.19690963
"9","Industrial Sector","Coal",5.09788796,4.15019638,3.38524820333333,3.42499560333333,3.35401810333333,3.28796171,3.06178007666667,3.37616308333333,3.53486877333333,3.78906286,3.17752072,3.98344657333333,3.84812798839888,4.39644098666667,4.66492521,5.29056821333333,6.01264598,6.03430536123521,6.00921148370876,6.04942659553619,7.05333177046203,6.43507626666667,6.80295572,5.88038117333333,5.68032901333333,5.82207530666667,5.54397558,5.10605333333333,4.46146961333333,4.1518048,4.40452584,4.28689305,3.95189124,3.94055808666667,3.57186445,3.49004894333333,3.04549476,2.84951003333333,2.63572580333333,2.15848248,2.18635956,1.87727481333333,1.63338127333333,1.70215756333333,1.49984945,1.366794,1.32780765333333,1.18333248,1.03047296,0.9320025,0.89620674,0.9669528
"10","Industrial Sector","Petroleum Products",6.43126635221046,8.02777663659139,9.35943297932996,8.3184882601601,7.42091715535518,7.02117338271508,9.65182273955506,11.2597155646641,9.23649270479791,9.27643814287992,7.50775355555322,5.63743888022602,5.4661054392023,5.2296497331478,6.88278783395242,6.08277352028547,6.63481751813156,6.31624296019539,6.23022803160067,5.45958364542105,5.45040317148493,5.53214053670405,6.59981147492083,6.56544452810025,5.79146313625851,6.23441631218035,6.5340487227748,6.19881564735855,6.00498653279682,5.36406099365055,5.8481960222413,6.14178325072064,5.07418071094585,4.68464370373602,5.29623171553386,5.63779089173362,5.12134350206697,4.4953177555162,3.83402434810084,3.2081833010107,3.40482133532621,2.9945657545049,2.58878276350413,2.78621322738557,2.69268238877233,2.6374216162831,2.70746589651884,2.80771832171391,2.76113770121224,2.78003990673207,2.68170158902858,2.6984377366055
