Table.1..State.energy.related.carbon.dioxide.emissions.by.year..1970.2021.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57
million metric tons of energy-related carbon dioxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Change,,Change,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(1970-2021),,(2019-2021),
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,102.646851366564,98.4611141576103,104.932503712156,109.563135476825,108.777542865247,107.77934626995,108.089154566654,111.683851961928,106.629516190143,111.552209732089,107.14722389458299,103.751059321727,90.9272715083283,89.9139929639816,95.3256343344322,101.632199665464,101.680109927398,103.675810028103,104.944584587179,109.850854445123,109.63618649885,113.89355220629,120.681037354892,125.226172012583,123.212375909531,130.996584111916,137.220804034842,134.133290055411,133.524213322072,135.835297830328,142.298576642026,133.321949773699,138.297153078848,139.792468685284,141.979013354553,143.53208097027,145.768722337941,147.287642511231,139.359998298939,119.799631405851,132.488087274445,129.54632125285,122.631496644427,120.464375697848,122.633475977931,119.202912200077,113.9864834941,108.594555631502,112.355760549426,106.254616911174,98.4318033197756,108.392103042929,5.5971046358232579E-2,5.7452516763645596,0.10118985314934111,9.9602997231529287
Alaska,11.3489097079969,12.6364227693534,13.4205880485349,12.4905643684354,12.7791098640717,14.524476947328,15.9693570122168,17.9503014092422,19.4828746362735,17.4732691723052,17.3827193228881,17.0443394947506,23.916105967594,25.921467633126,28.6309066748878,28.9842207300969,31.3972691160289,29.7496604902155,30.2302173953711,33.3032954938209,33.9282370253649,34.450250058894,35.8227175557388,35.6848843794296,35.5455201650833,40.0381193594459,41.1157012149815,41.2266711372396,42.2410378573586,42.8633887465832,43.579298034498,42.5528548533569,42.7357369092186,42.8954867335552,46.2025640804438,47.4903835479733,45.4221025202077,43.6533461050825,39.0790258302227,37.2867067559867,37.1372557833701,37.0853374479185,36.1553440285916,34.0492647723105,33.9194377772319,35.0279026070669,33.4056833752087,33.7310947587075,34.5154447397289,34.27683000553,35.9777433578574,38.8725260851835,2.4252211961640922,27.523616377186539,8.0460375141728768E-2,2.8947827273260458
Arizona,24.9061887689617,26.9987313114255,30.17924130672,34.4487198143441,36.7370723552356,38.2211324878145,43.7771529977183,50.5007057692828,49.2848835367583,56.1467240818791,52.8718058019568,59.8897468661293,58.474153186052,54.1614220024566,58.5249565552434,61.0780349552418,56.279845601222,56.3815312555268,59.5802045507074,65.4869233169423,63.0913316816648,63.9190053004988,66.7083507940039,69.0142918907913,71.7826541546057,66.7386022980521,68.5807357809373,71.7301258604936,76.7249660969022,80.6238737211633,86.6400394620313,88.861708570678,88.2672261840995,90.4936431943351,97.2877002489949,97.2991566407437,100.503815770352,102.353396212854,102.612852590786,93.865335849695,99.4865454399785,97.6615045436171,95.4538569361102,99.3093153344081,97.2954328526849,94.9829025529746,90.8609698603239,90.4808651022119,94.0998549393508,92.5556872377753,80.1538965030147,83.0242669971508,2.3334793921025909,58.11807822818912,3.5810741827481778E-2,2.8703704941361541
Arkansas,36.1788886570263,35.0912870518145,37.189109458097,40.82986639787,39.1125116484256,36.3655242851615,38.8575285952452,41.6490527727349,42.4185855526405,40.2459307206684,37.505560729851,42.934561473439,42.71803220971,47.0991621749498,44.9835247427171,49.146719685709,50.0073113151079,47.0647346035246,50.9702510841972,51.3195665790186,50.7816613258973,49.7110101732447,51.3065633050932,50.3940982668543,54.2974784692862,57.6657728725477,60.1933524155828,59.1509962260184,60.529906008834,62.7218596650321,63.340678102346,62.497584062948,61.2034741331091,62.1901875411052,62.510727686994,60.2367047127059,62.0979511744536,63.3775722828401,64.1708319073619,61.5437661621825,66.0874705329553,67.4843712893614,66.2553510205734,68.5124853537401,68.9142154499472,59.0540147789529,62.1270034707046,64.1763600846404,70.7859908435362,65.073336707927,54.749618705519,62.0249410663075,0.71439597424620027,25.846052409281139,0.13288352563549721,7.2753223607885218
California,294.372199859712,305.833366744362,312.722261001184,329.285277474873,304.471018398028,311.485516141537,326.902402816128,354.482753066707,345.243292667383,362.068049365645,344.412111599024,334.217918247518,298.779345283437,293.4819473831,315.504829808675,320.62755048093,306.681885984611,335.842750874676,344.572845068739,359.393998298498,360.205089808971,348.542314205767,352.331367012194,341.880710597913,359.254282593309,348.751971923733,349.806121335597,352.66797238318,362.667552186696,366.098386578937,382.286455273936,385.559362939152,384.423636412005,374.634361205086,392.687719164242,389.575519378099,397.786376743566,402.553428904919,384.000453966289,370.357760667365,356.592180339394,342.655381494789,348.750202729685,349.714192305124,345.386127300208,351.421508183549,353.372144541643,356.532042865761,358.605130208403,358.266354661875,303.815452862993,324.039052859179,0.10078007710512479,29.666852999466979,6.6565409381287077E-2,20.223599996186241
Colorado,43.0175594713028,43.5916898202861,47.467615125736,51.0676492187891,50.4805074286171,51.8016563689721,55.1349641785742,58.314615262378,58.4442109350017,58.8945850274116,58.8751813020943,57.8215166424895,58.9850626914243,57.159617122909,60.930568958212604,61.5253518040416,60.7307022010596,61.4007217259956,63.7638909409043,64.9824592630231,66.5439075580285,67.7397420030772,68.7388909930305,72.4439389885557,73.0011752153528,73.0596724869466,76.0117720755592,76.1509400529271,78.4179773015144,80.4581515994058,85.5163804062966,93.301222885794,91.6034852735696,91.0024799575848,93.5457910098329,95.7517595253666,96.6259924667917,99.3311203868082,97.3871662591242,93.3261933247177,95.887378064722,92.5056284038422,91.2071296125711,92.1381264203337,92.7741199689851,91.308856702766093,88.4286650898815,88.7781709185103,90.0662466345426,91.7471562921612,79.9112652852634,85.3817814833405,0.98481230764146654,42.364222012037708,6.8457384306814806E-2,5.4705161980771067
