"","Sector","Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Residential Sector","Coal",0.60354855,0.48216663,0.39065004,0.40419027,0.4878324,0.2179881,0.29135502,0.27291726,0.11225907,0.08882775,0.0950697,0.05512122,0.09833472,0.09660618,0.13031271,0.14231646,0.13530627,0.17996022,0.15480036,0.09785457,0.11369952,0.0605873766666667,0.0840554733333333,0.1338084,0.112978396666667,0.08872006,0.113577566666667,0.04737007,0.0477766666666667,0.0375179933333333,0.0227846666666667,0.0339256133333333,0.0220833066666667,0.0325461766666667,0.02202376,0.0229152,0.00568091333333333,0.0195706866666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Residential Sector","Petroleum Products",6.36495995666667,6.26972045333333,6.18078864333333,5.91140733333333,5.14941163,5.08187438,5.35364503666667,5.5318967,4.87451341666667,6.85273523,4.06272317,3.05989808666667,2.86600647666667,3.12650048333333,4.41852964666667,4.33150149666667,4.45186782333333,4.54608982666667,4.88642594,4.36940922,3.52054637,3.30303919,3.41346943666667,3.37449335666667,3.3622028,3.30290594333333,3.76205162666667,3.58889435666667,3.53735081333333,3.35877798666667,3.85200552,3.58660529333333,3.12158938666667,3.58763771666667,3.8432735,3.70541141666667,3.04591455666667,2.88256521666667,2.58941859,2.26501403333333,2.34989751333333,2.06604134,1.56301467666667,1.80255841333333,1.83034712666667,1.76898630333333,1.43786269,1.30664864,1.63059090333333,1.53005966666667,1.54363821333333,1.66677327666667
"3","Residential Sector","Natural Gas",2.69564284,2.6920905,3.01174808,2.80258418,2.60847796,2.63583628,2.83519148,2.65062886,2.93195298,2.7559796,2.94955562,2.76589434,2.62464906,2.5831344,2.8251707,2.68562206,2.84049348,3.05596676,3.23072068,3.40621688,2.84356864,2.99377026666667,3.43771761666667,3.6331955,3.59189292,3.75763230333333,4.20251245333333,4.09268515333333,3.49451575,3.80678298,4.37505273333333,3.86664256,4.14674989666667,4.69295926,4.52530921333333,4.71676524,3.93535648,4.45171826,4.384754,4.63853214,4.79995589333333,4.32068237333333,3.86814934,4.71146324,5.16195423333333,4.73851378,4.28856714,4.29354068,4.98258761,4.57756156,4.21803811,4.56428115
"4","Residential Sector","Total",9.66415134666667,9.44397758333333,9.58318676333333,9.11818178333333,8.24572199,7.93569876,8.48019153666667,8.45544282,7.91872546666667,9.69754258,7.10734849,5.88091364666667,5.58899025666667,5.80624106333333,7.37401305666667,7.15944001666667,7.42766757333333,7.78201680666667,8.27194698,7.87348067,6.47781453,6.35739683333333,6.93524252666667,7.14149725666667,7.06707411666667,7.14925830666667,8.07814164666667,7.72894958,7.07964323,7.20307896,8.24984292,7.48717346666667,7.29042259,8.31314315333333,8.39060647333333,8.44509185666667,6.98695195,7.35385416333334,6.97417259,6.90354617333333,7.14985340666667,6.38672371333333,5.43116401666667,6.51402165333333,6.99230136,6.50750008333333,5.72642983,5.60018932,6.61317851333333,6.10762122666667,5.76167632333333,6.23105442666667
"5","Commercial Sector","Coal",0.47419614,0.50185278,0.51779376,0.68824701,1.03654782,0.50867091,0.71340687,0.70178724,0.37566936,0.35511894,0.35742366,0.25121448,0.48015,0.50694237,0.55562958,0.50473368,0.45306954,0.60258825,0.54881145,0.36817902,0.45479808,0.275870026666667,0.38274742,0.60937976,0.640370353333333,0.59383038,0.833029413333333,0.38342227,0.386322126666667,0.274909763333333,0.18447,0.27474029,0.162102893333333,0.218088016666667,0.19783412,0.26381124,0.057772,0.176326186666667,0.18722022,0.21963128,0.2113045,0.225613813333333,0.12212772,0.126970433333333,0.1665378,0.12679106,0.0839256,0.09011486,0.06916459,0.0566761066666667,0.02508297,0.02215752
"6","Commercial Sector","Petroleum Products",1.18497030666667,1.21243514333333,1.28421403,1.36681999666667,1.22788684333333,1.21363733333333,1.27087407333333,1.36410486666667,1.20641326666667,1.56585953333333,1.19735872666667,1.10660436333333,1.13687335666667,1.80810483333333,2.04211120666667,1.80385348,2.15654175,2.17693259666667,1.92246479333333,1.70471297333333,1.73073967,1.50119636333333,1.46954338666667,1.50981622,1.55075085,1.64490821,2.01355198,1.83428135,1.83214581,1.75722928333333,2.10275486666667,1.82634899333333,1.44270822666667,2.06752010666667,1.92928677333333,1.76510748333333,1.55271262666667,1.29887893666667,1.07114744,0.956631463333333,1.05591610666667,0.92634949,1.11391540333333,1.07241434666667,1.2077329,1.92565934,1.91407021666667,1.95600632333333,2.07537190666667,2.07676175666667,1.8917228,1.97324017
"7","Commercial Sector","Natural Gas",1.63683344,1.88608046,1.8570255,2.04323174,1.91094684,1.74764524,1.8843308,1.87807444,2.32736592,1.83443898,2.06952966,1.91211328,2.0754679,2.09937992,1.9126965,1.871606,1.95474136,2.17260054,2.31867064,2.43860188,2.26861976,2.43463715,2.79492381666667,2.9343919,2.91774362,3.11426716333333,3.2677601,3.42756678,3.22334705,3.38458472,3.62833320666667,3.2920118,3.44475714,3.52005082,3.52805610666667,3.6382324,3.42265308,3.65371424,3.68526114,3.71921927666667,3.75205277333333,3.50240792,3.30686286333333,3.74522676,4.01343451666667,3.83158347,3.75412323,3.80549884,4.15692706,3.98539284,3.78454648,4.00655684
"8","Commercial Sector","Total",3.29599988666667,3.60036838333333,3.65903329,4.09829874666667,4.17538150333333,3.46995348333333,3.86861174333333,3.94396654666667,3.90944854666667,3.75541745333333,3.62431204666667,3.26993212333333,3.69249125666667,4.41442712333333,4.51043728666667,4.18019316,4.56435265,4.95212138666667,4.78994688333333,4.51149387333333,4.45415751,4.21170354,4.64721462333333,5.05358788,5.10886482333333,5.35300575333333,6.11434149333333,5.6452704,5.44181498666667,5.41672376666667,5.91555807333333,5.39310108333333,5.04956826,5.80565894333333,5.655177,5.66715112333333,5.03313770666667,5.12891936333333,4.9436288,4.89548202,5.01927338,4.65437122333333,4.54290598666667,4.94461154,5.38770521666667,5.88403387,5.75211904666667,5.85162002333333,6.30146355666667,6.11883070333333,5.70135225,6.00195453
"9","Industrial Sector","Coal",9.39332583367267,7.2767256106828,6.48649177,6.00507504666667,5.26094693666667,6.25614612333333,4.98981089098307,5.1495320085829,5.62000406008287,7.63275894776456,8.2662940984828,9.25112921126057,8.36023878187287,9.62632039923054,10.7775233907174,10.0109937380203,10.1854130330583,11.0078412247459,11.1796139618896,10.7675047053869,11.0984087330811,12.6674367251066,10.9738861443317,9.15483945792134,9.09522857272912,8.50532744319631,8.59984449691937,8.3148075245987,8.13937008317958,7.82144639069778,8.57349355674345,8.68665197031135,8.25122690245509,8.42936187965029,7.99001389561598,8.11308950692744,7.55961547744973,7.72652080823967,7.6674486694498,6.03645081731804,6.7876021580907,6.55592960677609,6.31794390161596,6.03254362711288,5.46176688358091,4.42960941258516,4.2525444854351,4.00201979266511,4.00381326999742,3.91074628667473,3.28256317068726,3.40141857021012
"10","Industrial Sector","Petroleum Products",5.1997609576435,6.36638177962425,7.03527641006265,7.65812099048061,7.04665415395554,6.19632409710213,6.62607243225581,7.25177396558141,5.82891199597832,6.25323867390223,5.19281164303439,3.97908160451684,4.0666447579065,3.78036911687507,4.67923761869651,4.52875534828117,4.7674946630065,4.47678652364923,4.79071148975189,4.50688755229126,4.24990672827153,3.8218001667813,3.91986550031818,3.89526055977553,3.59630051527906,3.63900769133227,4.07824036627855,4.6345214340576,4.12764342194221,3.92691499153937,4.26906244253914,4.33284382559262,3.95540948500181,5.14484391669721,5.68763000123972,5.52928429415796,5.19808423601639,5.27567520966088,5.1343275066284,3.28958442331516,2.55969207278951,2.11435183435172,2.12837265963216,2.15607080146036,2.10803943253166,1.86017902095498,1.91299040610398,1.85363095013765,1.77442533212419,1.9326193593883,1.57535094084893,1.85267560628547
