North Carolina Carbon Dioxide Emissions from Fossil Fuel Consumption (1970-2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.6,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Petroleum Products,8.5,8.1,7.9,7.2,6.0,5.6,6.2,6.2,5.6,5.9,4.8,3.8,3.5,3.5,5.2,4.7,4.4,4.9,5.3,4.5,3.3,3.3,3.6,3.6,3.2,3.8,4.3,3.9,3.8,3.4,3.7,3.7,3.1,3.6,3.6,3.1,2.6,2.4,2.5,2.2,2.4,1.8,1.3,1.4,1.6,1.8,1.6,1.2,1.6,1.5,1.3,1.4
,Natural Gas,1.5,1.7,1.8,1.5,1.5,1.5,1.8,1.7,1.9,1.7,1.8,1.8,1.7,1.7,1.8,1.6,1.7,2.0,2.1,2.1,1.9,2.1,2.3,2.6,2.6,2.7,3.2,2.9,2.8,2.9,3.5,3.1,3.2,3.6,3.5,3.5,3.1,3.2,3.5,3.6,4.0,3.3,3.0,3.7,4.1,3.5,3.5,3.3,4.0,3.7,3.5,3.9
,Total,10.6,10.2,10.0,9.1,7.7,7.4,8.2,8.1,7.6,7.7,6.7,5.6,5.3,5.3,7.1,6.3,6.2,7.0,7.5,6.7,5.3,5.4,6.0,6.3,6.0,6.6,7.6,6.9,6.7,6.4,7.2,6.8,6.4,7.3,7.2,6.6,5.7,5.6,6.0,5.7,6.4,5.2,4.4,5.2,5.7,5.4,5.1,4.5,5.5,5.2,4.8,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.1,0.6,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1
,Petroleum Products,1.3,1.3,1.4,1.3,1.1,1.1,1.3,1.3,1.2,1.4,1.5,1.2,0.9,1.9,2.5,2.0,1.8,2.1,2.3,1.9,1.8,1.5,1.4,1.5,1.7,1.6,2.0,2.0,1.9,1.7,2.0,2.1,1.6,2.2,2.1,2.1,1.8,1.6,1.7,2.0,1.6,1.2,1.2,1.0,1.2,1.9,1.9,1.9,1.9,1.9,1.9,2.0
,Natural Gas,1.2,1.4,1.3,1.3,1.1,1.2,1.1,1.0,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.8,1.8,1.7,1.9,2.0,2.1,2.1,2.0,2.2,2.1,2.0,2.1,2.4,2.1,2.2,2.4,2.5,2.6,2.5,2.5,2.7,2.8,3.0,2.7,2.6,3.0,3.3,3.0,3.1,2.9,3.2,3.1,2.9,3.1
