"","State","LogGDP1997","LogGDP2019","LogGDP2021","Emission 2021","Emission 2019","Emission 1997"
"1","Alabama",10.0966021476042,10.7617431077672,10.8260578545458,108.392103042928,106.254616911174,134.133290055411
"2","Alaska",10.6547382047838,11.2199216634969,11.2649072075898,38.8725260851835,34.27683000553,41.2266711372396
"3","Arizona",10.2770715564822,10.8409500437422,10.9639752358378,83.0242669971508,92.5556872377753,71.7301258604936
"4","Arkansas",10.0736871698047,10.681774453511,10.8014767671727,62.0249410663075,65.073336707927,59.1509962260184
"5","California",10.4116963478826,11.2535339685081,11.3641102391826,324.039052859179,358.266354661875,352.66797238318
"6","Colorado",10.4682550221027,11.134787781907,11.226366491932,85.3817814833405,91.7471562921612,76.1509400529271
"7","Connecticut",10.6530749787741,11.3011254914394,11.3242154633899,36.5732571120829,36.6353523409452,42.3198684476895
"8","Delaware",10.722767122414,11.2741778009223,11.2993086673997,12.9666335651477,13.5939829449186,16.8495218804726
"9","District of Columbia",11.5058727837803,12.2224585921163,12.3444818927253,2.52085585406632,2.80754923972093,4.25628372455046
"10","Florida",10.2163365300159,10.8534406431442,10.9597732897163,226.324206671428,233.617788982009,217.836280402888
"11","Georgia",10.3858780564543,11.0025878970545,11.0681464675303,124.119173704667,136.496575730442,157.140487001495
"12","Hawaii",10.3642282437903,11.0810304268381,11.0503540667892,17.3402479746129,20.5326290531323,18.6916732851112
"13","Idaho",10.1008929586839,10.743062884013,10.8308060388996,20.5221350164931,20.0872480147818,13.7816645629689
"14","Illinois",10.4514563707883,11.1594583380078,11.2188118153562,184.234367593203,203.475091091399,225.624169911879
"15","Indiana",10.2758327822029,10.9441766312372,11.0121931477635,166.380706664917,176.181825481441,217.990557449683
"16","Iowa",10.2743612632632,11.0339384368714,11.1245000819656,73.1423574621309,77.306447204523,74.2529984534282
"17","Kansas",10.2589545459608,11.012382791578,11.0843086967196,59.7584345964598,60.4841675595775,71.2312116540626
"18","Kentucky",10.1944057077852,10.796604157363,10.8708181968014,111.29704268566,114.669207817066,142.962424892604
"19","Louisiana",10.1935464973479,10.9122594899809,10.9310078893061,188.600448390665,194.923783981623,221.410944465767
"20","Maine",10.1100482086469,10.8403983905051,10.9427893549977,14.4076743176133,14.4273045491445,19.5821059410679
"21","Maryland",10.3511468368128,11.1480168673897,11.1829057761298,52.574575502063,56.8804134732547,72.7907837283123
"22","Massachusetts",10.5661204466578,11.3569360570524,11.4265432240668,56.118147817611,63.3382579574981,85.1948682912339
"23","Michigan",10.3300333137186,10.8837431440334,10.9508644489896,147.832460797569,159.255886303779,191.906987157588
"24","Minnesota",10.4149137136475,11.1283913417203,11.1862776185616,83.1583987914539,92.1011880927508,91.7125315810597
"25","Mississippi",9.96929065906215,10.5546795997525,10.6726988043579,63.0519584287569,62.5524643425801,55.8015649202592
"26","Missouri",10.3148668915142,10.8994503306689,10.9701222244882,116.951927165567,116.992725166254,125.971586857483
"27","Montana",9.99666775005211,10.7897897569948,10.8791108280556,28.516861801362,32.287479633014,29.8857289572885
"28","Nebraska",10.3117253129188,11.1306971187465,11.2182027667133,47.2279291685469,50.4730507244234,40.9144845297555
